year	index
1800	-1.218
1801	-2.637
1802	0.928
1803	-0.899
1804	1.355
1805	0.964
1806	0.584
1807	0.394
1808	-1.28
1809	0.37
1810	0.552
1811	0.581
1812	0.905
1813	-2.884
1814	0.543
1815	0.931
1816	1.065
1817	0.129
1818	0
1819	0.754
1820	-2.326
1821	0.65
1822	-0.024
1823	-3.245
1824	0.181
1825	-0.089
1826	0.099
1827	-0.087
1828	0.763
1829	-2.735
1830	-0.545
1831	0.639
1832	0.575
1833	0.884
1834	0.815
1835	0.389
1836	0.614
1837	-0.062
1838	0.565
1839	1.324
1840	0.244
1841	-2.062
1842	-0.622
1843	-0.058
1844	0.882
1845	-1.207
1846	0.294
1847	-2.26
1848	0.783
1849	1.323
1850	0.475
1851	-0.291
1852	1.103
1853	0.533
1854	0.887
1855	0.223
1856	0.049
1857	-1.945
1858	-0.266
1859	-1.405
1860	-0.021
1861	0.268
1862	0.958
1863	-0.964
1864	-0.708
1865	0.787
1866	1.259
1867	1.029
1868	1.392
1869	0.319
1870	-0.873
1871	-0.855
1872	-1.655
1873	-1.008
1874	0.399
1875	0.714
1876	-0.428
1877	-0.384
1878	0.517
1879	-1.171
1880	0.311
1881	-0.349
1882	-0.113
1883	0.516
1884	1.3
1885	1.197
1886	0.334
1887	-1.403
1888	0.428
1889	0.614
1890	1.095
1891	0.959
1892	-0.076
1893	-0.279
1894	-0.646
1895	0.743
1896	-0.497
1897	0.711
1898	-0.058
1899	-1.392
1900	-1.59
1901	-0.492
1902	-1.952
1903	0.097
1904	-2.721
1905	1.282
1906	1.158
1907	1.105
1908	0.797
1909	0.562
1910	0.127
1911	-0.065
1912	0.051
1913	-0.656
1914	-0.033
1915	0.5
1916	0.579
1917	1.135
1918	-0.315
1919	0.91
1920	0.503
1921	-1.397
1922	0.712
1923	-0.035
1924	0.56
1925	-1.925
1926	-0.569
1927	-1.026
1928	-0.194
1929	-1.099
1930	-0.823
1931	0.091
1932	0.605
1933	0.555
1934	-0.589
1935	1.531
1936	-0.597
1937	1.119
1938	0.238
1939	-0.443
1940	0.137
1941	0.922
1942	0.689
1943	-1.313
1944	0.747
1945	0.326
1946	-0.889
1947	-1.106
1948	-1.103
1949	0.854
1950	0.016
1951	-2.016
1952	0.546
1953	0.593
1954	0.754
1955	0.949
1956	-2.605
1957	0.993
1958	0.955
1959	0.28
1960	0.733
1961	-0.411
1962	-0.72
1963	-0.951
1964	-0.707
1965	1.004
1966	1.114
1967	-0.211
1968	0.682
1969	0.185
1970	0.345
1971	-1.735
1972	-0.366
1973	1.333
1974	-0.935
1975	0.102
1976	-0.275
1977	-2.552
1978	0.608
1979	0.474
1980	1.356
1981	-0.864
1982	0.375
1983	0.363
1984	0.76
1985	0.168
1986	1.09
1987	0.317
1988	0.856
1989	-2.203
1990	-0.389
1991	-0.05
1992	0.652
1993	1.243
1994	-1.67
1995	-0.136
1996	-2.675
1997	-0.038
1998	0.971
1999	0.555
