year	width
1916	176
1917	104
1918	121
1919	127
1920	131
1921	102
1922	148
1923	79
1924	78
1925	56
1926	60
1927	46
1928	81
1929	93
1930	117
1931	97
1932	141
1933	162
1934	116
1935	203
1936	113
1937	131
1938	99
1939	111
1940	164
1941	132
1942	149
1943	111
1944	194
1945	200
1946	175
1947	138
1948	98
1949	190
1950	156
1951	72
1952	129
1953	196
1954	210
1955	175
1956	38
1957	131
1958	176
1959	145
1960	128
1961	102
1962	102
1963	87
1964	128
1965	207
1966	211
1967	146
1968	154
1969	133
1970	129
1971	94
1972	92
1973	182
1974	118
1975	147
1976	94
1977	96
1978	114
1979	85
1980	131
1981	86
1982	137
1983	209
1984	205
1985	139
1986	201
1987	114
1988	151
1989	42
1990	67
1991	47
1992	126
1993	98
1994	27
1995	59
1997	43
1998	75
1999	35
2000	35
