year	width
1800	47
1801	22
1802	116
1803	47
1804	119
1805	102
1806	90
1807	83
1808	45
1809	79
1810	77
1811	71
1812	102
1813	16
1814	74
1815	82
1816	82
1817	48
1818	44
1819	61
1820	15
1821	71
1823	9
1824	45
1825	57
1826	58
1827	61
1828	95
1829	14
1830	59
1831	111
1832	97
1833	123
1834	138
1835	112
1836	131
1837	98
1838	113
1839	151
1840	84
1841	29
1842	62
1843	67
1844	131
1845	22
1846	75
1847	6
1848	116
1849	132
1850	64
1851	34
1852	121
1853	43
1854	79
1855	47
1856	29
1858	43
1859	22
1860	51
1861	52
1862	76
1863	17
1864	12
1865	70
1866	71
1867	62
1868	80
1869	56
1870	29
1871	17
1872	23
1873	42
1874	86
1875	69
1876	33
1877	32
1878	57
1879	27
1880	65
1881	37
1882	46
1883	53
1884	75
1885	92
1886	57
1887	31
1888	50
1889	71
1890	68
1891	45
1892	28
1893	26
1894	28
1895	41
1896	23
1897	48
1898	32
1899	12
1900	8
1901	21
1902	9
1903	62
1905	89
1906	77
1907	58
1908	64
1909	76
1910	58
1911	63
1912	37
1913	35
1914	45
1915	61
1916	47
1917	84
1918	41
1919	72
1920	57
