year	width
1836	87
1837	73
1838	125
1839	172
1840	124
1841	30
1842	73
1843	95
1844	168
1845	38
1846	98
1847	21
1848	101
1849	246
1850	175
1851	94
1852	168
1853	159
1854	190
1855	114
1856	66
1857	15
1858	43
1859	20
1860	82
1861	72
1862	118
1863	26
1864	54
1865	154
1866	164
1867	158
1868	128
1869	94
1870	20
1871	53
1872	12
1873	42
1874	89
1875	107
1876	45
1877	55
1878	76
1879	54
1880	79
1881	38
1882	52
1883	94
1884	116
1885	72
1886	45
1887	12
1888	44
1889	78
1890	71
1891	137
1892	103
1893	43
1894	23
1895	67
1896	44
1897	77
1898	44
1899	29
1900	24
1901	52
1902	14
1903	71
1904	6
1905	135
1906	129
1907	177
1908	139
1909	58
1910	79
1911	104
1912	120
1913	63
1914	127
1915	136
1916	230
1917	265
1918	155
1919	170
1920	113
1921	41
1922	95
1923	54
1924	152
1925	33
1926	52
1927	51
1928	62
1929	46
1930	54
1931	54
1932	61
1933	84
1934	67
1935	171
1936	45
1937	188
1938	75
1939	75
1940	89
1941	123
1942	73
1943	23
1944	84
1945	40
1946	22
1947	15
1948	17
1949	53
1950	29
1951	3
1952	67
1953	36
1954	32
1955	66
1956	10
1957	77
1958	87
1959	27
1960	78
1961	32
1962	29
1963	28
1964	27
1965	59
1966	102
1967	56
1968	90
1969	48
1970	90
1971	24
1972	45
1973	113
1974	28
1975	47
1976	65
1977	17
1978	76
1979	51
1980	128
1981	54
1982	61
1983	57
1984	103
1985	74
1986	123
1987	71
1988	133
1989	22
1990	69
1991	64
1992	39
1993	82
1994	19
1995	37
1996	9
1997	40
1998	59
1999	30
2000	35
